Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,34.630001,34.639999,28.750000,28.990000,28.990000,86659500
2015-02-01,29.160000,33.820000,28.719999,32.299999,32.299999,117874900
2015-03-01,32.380001,34.049999,30.600000,30.760000,30.760000,84358600
2015-04-01,30.830000,34.310001,30.510000,32.360001,32.360001,84868800
2015-05-01,32.580002,34.080002,30.549999,33.939999,33.939999,89110900
2015-06-01,34.070000,34.790001,32.080002,33.259998,33.259998,57760800
2015-07-01,33.439999,34.939999,30.900000,33.020000,33.020000,64850900
2015-08-01,33.000000,33.430000,25.110001,26.600000,26.600000,103600600
2015-09-01,26.030001,28.850000,25.270000,26.030001,26.030001,80372500
2015-10-01,26.150000,30.129999,25.020000,29.440001,29.440001,63136100
2015-11-01,29.530001,31.799999,28.250000,31.139999,31.139999,68657600
2015-12-01,31.219999,31.379999,25.830000,26.680000,26.680000,69631500
2016-01-01,26.129999,28.030001,24.700001,27.590000,27.590000,52901500
2016-02-01,27.330000,28.320000,23.740000,25.000000,25.000000,77726300
2016-03-01,25.260000,29.750000,25.059999,28.629999,28.629999,67357800
2016-04-01,28.270000,29.260000,26.990000,27.309999,27.309999,57163000
2016-05-01,27.370001,29.370001,26.049999,27.850000,27.850000,85288300
2016-06-01,27.719999,28.889999,23.660000,25.230000,25.230000,82856400
2016-07-01,25.290001,25.830000,24.440001,25.090000,25.090000,58812900
2016-08-01,25.160000,27.730000,24.730000,25.510000,25.510000,72824400
2016-09-01,25.520000,27.250000,23.959999,26.920000,26.920000,80521400
2016-10-01,26.910000,28.260000,25.160000,26.110001,26.110001,69638300
2016-11-01,25.840000,28.459999,24.750000,27.090000,27.090000,76194800
2016-12-01,27.219999,29.719999,26.520000,27.410000,27.410000,49156500
2017-01-01,27.660000,28.980000,26.120001,28.350000,28.350000,62060000
2017-02-01,28.320000,29.910000,27.340000,28.760000,28.760000,55936100
2017-03-01,29.010000,29.180000,27.150000,29.090000,29.090000,60607700
2017-04-01,29.100000,30.250000,28.219999,28.780001,28.780001,44647500
2017-05-01,28.940001,29.000000,24.879999,26.500000,26.500000,86222100
2017-06-01,26.500000,27.230000,25.090000,25.830000,25.830000,63237200
2017-07-01,26.030001,27.920000,24.190001,24.600000,24.600000,100877100
