Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,35.240002,35.520000,28.510000,29.270000,28.774639,610506500
2015-02-01,29.250000,32.840000,28.090000,30.670000,30.150948,434426600
2015-03-01,31.080000,31.500000,25.610001,27.129999,26.670855,544654100
2015-04-01,27.129999,29.780001,26.400000,28.129999,27.653933,436295800
2015-05-01,28.309999,29.250000,26.010000,27.930000,27.457317,429768300
2015-06-01,27.959999,28.530001,18.549999,18.840000,18.521156,703906000
2015-07-01,19.049999,20.570000,17.139999,18.510000,18.196741,864703900
2015-08-01,18.610001,19.469999,13.500000,16.410000,16.132280,699121500
2015-09-01,15.800000,17.969999,13.920000,14.980000,14.726481,541386300
2015-10-01,14.990000,19.299999,14.500000,16.559999,16.279743,697300400
2015-11-01,16.959999,18.049999,14.650000,15.930000,15.660403,370952400
2015-12-01,16.180000,16.629999,13.510000,14.160000,13.920358,503575500
2016-01-01,13.830000,15.080000,9.310000,11.030000,10.843331,651121100
2016-02-01,11.000000,11.750000,9.450000,10.630000,10.450100,461446600
2016-03-01,10.770000,12.290000,10.010000,10.470000,10.292809,527818500
2016-04-01,10.280000,12.410000,10.050000,10.750000,10.568070,517968600
2016-05-01,10.800000,12.910000,9.350000,12.720000,12.504729,561794500
2016-06-01,12.610000,14.160000,11.580000,13.760000,13.527129,697596600
2016-07-01,12.580000,14.890000,11.500000,13.740000,13.507465,612699700
2016-08-01,13.810000,17.250000,13.020000,16.490000,16.210926,529876300
2016-09-01,16.610001,18.160000,16.299999,17.780001,17.479097,541893500
2016-10-01,17.990000,18.330000,16.170000,17.160000,16.869589,539021800
2016-11-01,17.200001,20.440001,16.450001,19.530001,19.199476,537962500
2016-12-01,19.700001,23.639999,18.180000,21.920000,21.549030,631648600
2017-01-01,22.070000,24.240000,21.490000,24.110001,23.701971,446792700
2017-02-01,24.430000,25.309999,22.639999,23.440001,23.043308,485701900
2017-03-01,24.160000,29.870001,24.070000,28.900000,28.410900,728136900
2017-04-01,28.950001,29.040001,26.360001,27.670000,27.201717,460534300
2017-05-01,27.850000,31.100000,26.959999,30.770000,30.249256,509130600
2017-06-01,30.750000,32.959999,29.209999,29.860001,29.354656,772196700
2017-07-01,30.090000,32.349998,27.870001,28.120001,27.644102,562428900
2017-08-01,28.219999,32.020000,26.850000,31.969999,31.428949,543420400
2017-09-01,32.130001,39.360001,31.650000,39.330002,38.664387,731488700
2017-10-01,39.599998,44.570000,38.810001,44.310001,43.560112,834077600
2017-11-01,44.790001,49.889999,41.860001,42.389999,41.672604,695153200
2017-12-01,41.730000,46.799999,39.070000,41.119999,40.424088,895252000
2018-01-01,41.540001,46.980000,41.189999,43.720001,42.980095,831013900
2018-02-01,43.040001,49.459999,37.520000,48.810001,47.983955,831358900
2018-03-01,48.770000,63.419998,45.950001,52.139999,51.257599,1549894000
2018-04-01,51.540001,54.270000,45.320000,45.980000,45.201839,1075226000
2018-05-01,45.590000,64.660004,45.330002,57.590000,56.615364,1159858400
2018-06-01,58.810001,62.549999,51.790001,52.439999,51.552521,1034243300
2018-07-01,51.520000,58.150002,50.099998,52.790001,51.896595,730418300
2018-08-01,52.660000,53.680000,45.619999,52.520000,51.631161,696140700
2018-09-01,52.139999,52.299999,40.680000,45.230000,44.464539,880109200
2018-10-01,45.439999,46.689999,33.820000,37.720001,37.081638,821867500
2018-11-01,37.980000,41.430000,34.049999,38.560001,37.907425,560230000
2018-12-01,40.200001,40.240002,28.389999,31.730000,31.193007,739529700
2019-01-01,31.000000,39.310001,30.750000,38.220001,37.573177,771128400
2019-02-01,38.310001,43.990002,37.360001,40.880001,40.188156,610094300
2019-03-01,41.639999,44.209999,36.570000,41.330002,40.630543,684548300
2019-04-01,42.270000,44.849998,40.770000,42.060001,41.348186,482889100
2019-05-01,42.430000,43.380001,32.169998,32.610001,32.058117,566679000
2019-06-01,32.950001,39.400002,32.139999,38.590000,37.936916,636770700
2019-07-01,41.160000,48.700001,38.799999,44.889999,44.130287,671561700
2019-08-01,45.000000,45.959999,40.700001,45.270000,44.503857,501560900
2019-09-01,44.599998,51.389999,42.580002,42.849998,42.124817,496512600
2019-10-01,43.099998,49.169998,41.750000,47.549999,46.745277,420844300
2019-11-01,47.480000,49.900002,45.040001,47.509998,46.705948,318007000
2019-12-01,47.570000,56.110001,44.549999,53.779999,52.869835,509033300
2020-01-01,54.849998,60.560001,52.700001,53.090000,52.191517,511028800
2020-02-01,53.250000,61.189999,48.389999,52.560001,51.670483,511448300
2020-03-01,53.200001,55.610001,31.129999,42.060001,41.348186,826348600
2020-04-01,40.549999,50.139999,39.330002,47.889999,47.079517,595404300
2020-05-01,46.360001,49.580002,42.509998,47.910000,47.099174,493363200
2020-06-01,47.490002,54.820000,45.570000,51.520000,50.648079,519296700
2020-07-01,51.520000,54.200001,47.950001,50.060001,49.212795,403345200
2020-08-01,50.389999,51.480000,42.250000,45.509998,44.739799,390850500
2020-09-01,45.529999,52.169998,44.450001,46.959999,46.165260,454161000
2020-10-01,47.099998,54.849998,46.500000,50.340000,49.488056,351347600
2020-11-01,50.790001,65.250000,49.439999,64.089996,63.005352,324978800
2020-12-01,65.250000,75.680000,65.139999,75.180000,73.907661,359166400
2021-01-01,76.480003,87.250000,73.750000,78.269997,76.945374,420844300
2021-02-01,79.589996,93.099998,78.480003,91.529999,89.980957,299167500
2021-03-01,94.540001,95.750000,80.489998,88.209999,86.717155,543971500
2021-04-01,93.000000,96.959999,83.900002,86.070000,84.613358,413859600
2021-05-01,86.970001,87.010002,76.160004,84.139999,82.716034,365378500
2021-06-01,84.919998,85.760002,75.709999,84.980003,83.541817,420930800
2021-07-01,82.239998,82.250000,72.510002,77.580002,76.267059,400294300
2021-08-01,79.040001,83.089996,68.809998,73.699997,72.452690,504958200
2021-09-01,74.320000,75.879997,70.220001,70.980003,69.778748,367832600
2021-10-01,71.339996,71.669998,65.669998,69.099998,68.025520,349953400
2021-11-01,68.970001,87.709999,68.940002,84.000000,82.693832,404881700
2021-12-01,86.550003,96.750000,80.529999,93.150002,91.701553,457934400
2022-01-01,93.910004,98.449997,75.519997,82.269997,81.077087,430133600
