Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,92.250000,93.050003,86.029999,87.419998,57.933681,326819500
2015-02-01,87.849998,93.449997,87.500000,88.540001,58.675934,276447700
2015-03-01,88.339996,88.519997,82.680000,85.000000,56.753937,330260500
2015-04-01,85.699997,88.669998,83.809998,87.370003,58.336388,251671200
2015-05-01,87.849998,90.089996,84.769997,85.199997,56.887482,198924100
2015-06-01,85.250000,85.970001,82.800003,83.199997,56.011570,238808600
2015-07-01,83.279999,83.529999,78.930000,79.209999,53.325451,274029000
2015-08-01,78.699997,79.290001,66.550003,75.239998,50.652779,387523600
2015-09-01,73.300003,75.470001,71.510002,74.349998,50.521935,316644500
2015-10-01,75.199997,83.879997,73.029999,82.739998,56.223064,318077700
2015-11-01,82.300003,87.440002,77.910004,81.660004,55.489189,264207900
2015-12-01,81.760002,82.129997,73.790001,77.949997,53.429935,367069000
2016-01-01,77.500000,79.919998,71.550003,77.849998,53.361385,418954700
2016-02-01,76.660004,83.440002,73.550003,80.150002,54.937912,359915800
2016-03-01,80.559998,85.099998,80.309998,83.589996,57.815842,292841700
2016-04-01,82.400002,89.779999,81.989998,88.400002,61.142735,221801200
2016-05-01,88.239998,90.459999,87.230003,89.019997,61.571556,219170200
2016-06-01,88.430000,93.830002,87.610001,93.739998,65.381096,252091800
2016-07-01,93.360001,95.550003,86.120003,88.949997,62.040192,209716200
2016-08-01,88.080002,88.940002,85.580002,87.139999,60.777782,235412300
2016-09-01,86.720001,89.370003,82.290001,87.279999,61.394547,271447100
2016-10-01,86.940002,88.669998,82.989998,83.320000,58.609005,192041100
2016-11-01,83.500000,88.190002,82.760002,87.300003,61.408615,233089000
2016-12-01,87.980003,93.220001,86.599998,90.260002,64.052925,220435500
2017-01-01,90.940002,91.339996,83.129997,83.889999,59.532482,252514500
2017-02-01,84.000000,84.160004,80.760002,81.320000,57.708675,237345100
2017-03-01,81.699997,84.250000,80.309998,82.010002,58.730503,315475000
2017-04-01,82.019997,83.550003,80.300003,81.650002,58.472675,192624700
2017-05-01,81.510002,83.230003,80.470001,80.500000,57.649132,220122400
2017-06-01,80.370003,83.690002,79.260002,80.730003,58.359798,303836700
2017-07-01,80.790001,82.489998,78.269997,80.040001,57.860992,201333900
2017-08-01,80.160004,80.820000,76.050003,76.330002,55.179043,224413200
2017-09-01,76.370003,82.449997,76.320000,81.980003,59.837845,216249200
2017-10-01,81.300003,84.239998,81.250000,83.349998,60.837830,172408300
2017-11-01,83.389999,84.139999,80.010002,83.290001,60.794014,191810600
2017-12-01,83.440002,84.360001,82.169998,83.639999,61.614506,220601300
2018-01-01,83.820000,89.300003,83.660004,87.300003,64.310707,233944600
2018-02-01,87.500000,89.250000,73.900002,75.739998,55.794872,369414700
2018-03-01,75.529999,76.980003,72.669998,74.610001,55.524464,356741300
2018-04-01,74.269997,80.900002,72.160004,77.750000,57.861233,285826800
2018-05-01,77.260002,82.650002,75.400002,81.239998,60.458481,299337700
2018-06-01,81.870003,83.790001,79.300003,82.730003,62.191380,257136500
2018-07-01,81.889999,84.400002,80.709999,81.510002,61.274254,204469200
2018-08-01,80.889999,81.589996,76.510002,80.169998,60.266918,215072500
2018-09-01,80.410004,87.360001,79.599998,85.019997,64.572067,227023600
2018-10-01,85.349998,86.889999,76.220001,79.680000,60.516384,305909200
2018-11-01,79.830002,83.750000,74.699997,79.500000,60.379677,287081300
2018-12-01,80.239998,81.949997,64.650002,68.190002,52.314827,380647000
2019-01-01,67.349998,73.489998,67.260002,73.279999,56.219833,269226500
2019-02-01,74.919998,79.750000,72.730003,79.029999,60.631195,245067300
2019-03-01,79.379997,82.000000,77.860001,80.800003,62.677330,272454400
2019-04-01,81.230003,83.489998,79.559998,80.279999,62.273956,219523400
2019-05-01,79.940002,80.260002,70.629997,70.769997,54.896961,250094000
2019-06-01,71.089996,77.760002,70.970001,76.629997,60.123985,218953600
2019-07-01,77.129997,77.930000,74.180000,74.360001,58.342934,186899500
2019-08-01,73.739998,74.269997,66.529999,68.480003,53.729485,277599800
2019-09-01,67.889999,75.180000,67.629997,70.610001,56.089531,215355500
2019-10-01,70.830002,70.910004,66.309998,67.570000,53.674679,237608200
2019-11-01,68.389999,73.120003,67.320000,68.129997,54.119511,249330500
2019-12-01,68.500000,70.540001,67.519997,69.779999,56.098694,286029400
2020-01-01,70.239998,71.370003,61.860001,62.119999,49.940540,359133900
2020-02-01,61.380001,63.009998,48.009998,51.439999,41.354496,479874900
2020-03-01,52.590000,54.150002,30.110001,37.970001,30.963705,1171277200
2020-04-01,36.860001,47.680000,36.340000,46.470001,37.895275,791507100
2020-05-01,45.630001,47.150002,40.200001,45.470001,37.079796,477169600
2020-06-01,45.320000,55.360001,43.160000,44.720001,37.175278,584980000
2020-07-01,44.490002,45.380001,40.910000,42.080002,34.980675,447137800
2020-08-01,42.049999,46.419998,39.310001,39.939999,33.201710,449216800
2020-09-01,39.750000,40.029999,33.759998,34.330002,29.101179,590803600
2020-10-01,33.790001,35.950001,31.110001,32.619999,27.651627,630433400
2020-11-01,33.139999,42.080002,32.529999,38.130001,32.322399,703960200
2020-12-01,38.959999,44.470001,38.340000,41.220001,35.784775,603794500
2021-01-01,41.450001,51.080002,41.000000,44.840000,38.927452,594784100
2021-02-01,45.580002,57.250000,44.290001,54.369999,47.200836,543959000
2021-03-01,56.470001,62.549999,54.450001,55.830002,49.291424,790785000
2021-04-01,56.320000,59.480000,54.299999,57.240002,50.536285,457851400
2021-05-01,57.980000,64.019997,57.740002,58.369999,51.533947,521302100
2021-06-01,59.450001,64.930000,59.450001,63.080002,56.503658,526456700
2021-07-01,64.330002,64.419998,54.599998,57.570000,51.568092,435901400
2021-08-01,57.549999,59.060001,52.099998,54.520000,48.836071,406363800
2021-09-01,54.490002,60.480000,52.959999,58.820000,53.485241,482908500
2021-10-01,59.410000,65.940002,59.410000,64.470001,58.622818,435214600
2021-11-01,65.070000,66.379997,59.540001,59.840000,54.412739,416061500
2021-12-01,60.900002,63.349998,57.959999,61.189999,56.388054,433112300
2022-01-01,61.240002,76.419998,61.209999,75.959999,69.998970,608287500
2022-02-01,76.449997,83.080002,74.029999,78.419998,72.265907,628643600
2022-03-01,78.769997,91.510002,76.250000,82.589996,76.952400,853500100
2022-04-01,81.989998,89.800003,79.290001,85.250000,79.430840,505627700
2022-05-01,85.010002,99.779999,83.400002,96.000000,89.447044,659837300
2022-06-01,97.019997,105.570000,83.519997,85.639999,80.611565,660217900
2022-07-01,86.739998,97.519997,80.690002,96.930000,91.238663,427905800
2022-08-01,94.790001,101.559998,86.279999,95.589996,89.977333,424555300
2022-09-01,94.419998,99.190002,83.889999,87.309998,82.982040,411406700
2022-10-01,90.040001,112.910004,89.720001,110.809998,105.317131,431618500
2022-11-01,112.370003,114.660004,107.480003,111.339996,105.820847,368035500
2022-12-01,111.639999,112.070000,102.370003,110.300003,105.676353,376504300
2023-01-01,109.779999,117.779999,104.760002,116.010002,111.146980,329848000
2023-02-01,115.830002,119.629997,108.639999,109.910004,105.302689,311238300
2023-03-01,109.309998,113.839996,98.019997,109.660004,105.871620,412537000
2023-04-01,113.389999,119.919998,113.120003,118.339996,114.251747,293288800
2023-05-01,115.989998,117.300003,101.739998,102.180000,98.650032,332357300
2023-06-01,101.750000,109.139999,101.260002,107.250000,104.443375,322608200
2023-07-01,107.489998,108.459999,100.220001,107.239998,104.433640,350338600
2023-08-01,106.949997,112.070000,104.570000,111.190002,108.280266,315896100
2023-09-01,112.199997,120.699997,112.199997,117.580002,115.441681,320550000
2023-10-01,117.529999,117.790001,104.540001,105.849998,103.924995,493930700
2023-11-01,106.529999,109.190002,101.150002,102.739998,100.871559,433367400
2023-12-01,102.500000,104.220001,97.480003,99.980003,99.059380,453909500
