Asset,Mean Monthly Return (%),Monthly SD (%),Skewness,Excess Kurtosis,Jarque-Bera p-value,Observations
CI,1.3066504412273834,7.7644268880992175,0.3192072847567473,0.2735229877606282,0.3763792066674682,107
F,0.8134241994747662,10.679223000546429,0.061396744109113804,0.9618097469347431,0.18477174348957257,107
IBM,0.6943839001249531,6.663181373675207,-0.06856790377699004,1.3521271766374099,0.032180990413287154,107
JNJ,0.7553290000407473,4.629454967205484,-0.015550603845328316,0.2352939205445339,0.936432801157005,107
MU,1.7054343718723364,11.686163956001241,-0.17090602151686873,-0.02558658554380422,0.7653518466906972,107
SHW,1.5167718533057943,7.422845571058979,-0.09323523138722192,-0.01000522864275366,0.9187037757281709,107
WBD,-0.0571946073140186,13.18302461540417,1.0634704027001165,2.921318198478523,3.3272366426448436e-12,107
XOM,0.8291773340106543,8.169542473319929,0.32189620332587016,1.7427229291073516,0.0012897547267713358,107
S&P 500,0.9214893950529065,4.561608863336775,-0.3581505827764475,0.43805901279074444,0.24551614488092516,107
