Model,Monthly Alpha (%),Alpha p-value,R-squared,Adjusted R-squared
Market regression,0.9987622719350155,0.05201041903084644,0.2843853851761252,0.27763430390420174
Fama-French 3-factor,1.6483850488205016,0.007459634111632458,0.021008668848839895,-0.0072314657035972285
Carhart 4-factor,1.686638762007599,0.00654749976006024,0.025978937372192368,-0.01184712331238269
JNJ Carhart comparison,0.808574930971402,0.07793645081097439,0.04735714067780328,0.010361301480824814
